Label,Hours
Telecom - SSL Certificate issue,"[1.98, 3.0, 34.62, 1.0, 17.0, 7.67, 1.46, 3.5]"
Telecom - Call Drop Issues,"[6.46, 2.75, 2.98, 2.5, 3.0, 1.98, 0.98, 5.98, 35.0, 63.0, 2.96, 9.0, 8.0, 1.0, 1.0, 13.0, 1.0, 3.75, 2.0]"
Telecom - Voicemail issues / Voicemail password issues,"[15.94, 0.75, 4.0, 1.5, 4.0, 1.96, 5.71, 1.0, 3.0, 2.75, 6.0, 4.23, 1.48, 1.0, 0.5, 0.25, 0.98, 26.0, 0.98, 1.48, 2.96]"
"Telecom - Desk Phone Dead, Add/ remove/modify","[0.5, 2.75, 1.5, 3.42, 2.0, 4.67, 13.0, 5.46, 2.0, 3.0, 3.98, 7.0, 2.0, 4.0, 1.5, 2.21, 15.96, 3.0, 3.44, 2.21, 2.5, 6.0, 0.98, 4.0, 0.25, 0.96, 2.0, 0.32, 0.98, 3.5, 4.0, 78.0, 0.5, 5.48, 18.0, 4.5, 4.0, 6.0, 0.5, 2.0, 1.0, 2.0, 3.0, 1.0, 0.98, 24.0, 1.0, 6.0, 0.98, 2.0, 1.0, 5.0, 6.0, 3.48, 2.0, 3.0, 0.98, 32.0, 3.96, 1.46, 2.23, 1.98, 1.0, 2.96, 18.0, 7.5, 1.46, 20.59, 10.0, 2.5, 3.5, 2.5, 4.98, 2.44, 3.0, 2.0, 2.0, 19.0, 2.0, 2.0, 3.0, 3.0, 2.96, 14.44, 1.0, 1.0, 3.5, 11.44, 1.0, 2.0, 0.45, 1.0, 1.96, 3.9, 2.0, 2.96, 2.96, 12.0, 1.0, 3.0, 1.0, 6.0, 25.0, 4.96, 9.0, 10.0, 6.23, 9.0, 2.0, 2.0, 2.25, 2.21, 33.0, 5.5, 7.0, 17.0, 3.0, 1.0, 1.0, 2.0, 4.5, 1.0, 6.25, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0, 6.0, 2.0, 1.0, 1.0, 2.48, 0.96, 2.0, 3.5, 2.25, 4.0, 3.98, 18.62, 2.0, 1.96, 4.0, 2.15, 0.51, 4.48, 6.25, 7.25, 5.19, 1.0, 3.5, 1.07, 5.85, 0.17, 2.98, 2.0, 9.0, 2.5, 5.0, 7.52, 0.5, 2.0, 2.0, 2.0, 2.0, 2.0, 8.0, 15.92, 1.0, 3.0, 2.0, 4.0, 1.0, 2.0, 1.0, 2.0, 4.0, 0.5, 1.0, 0.23]"
Telecom - Console / Operator,"[0.67, 2.15, 4.96, 20.0, 1.5, 3.96, 0.96, 1.26, 3.48, 2.0, 3.94, 5.0, 3.17, 1.0, 1.98, 1.96, 6.26, 2.98, 2.98, 1.98, 2.96, 3.25, 10.0, 2.8, 2.5, 2.96, 4.48, 3.0, 5.5, 4.44, 5.23, 2.48, 2.0, 9.0, 3.98, 1.0, 1.0, 1.0, 3.92, 2.0, 1.0, 7.5, 2.0, 2.98, 1.98, 2.98, 2.0, 0.98, 2.0, 1.0, 4.0, 3.0, 5.0, 11.24, 0.98, 17.0, 1.96, 4.0, 0.18, 2.96, 1.0, 2.0, 7.44, 2.0, 3.88, 11.19, 1.0, 2.96, 9.02, 2.0, 1.71, 1.96, 3.51, 1.0, 18.94, 2.96, 2.0, 8.0, 3.0, 20.4, 2.0, 18.0, 10.0, 0.34, 2.0, 1.0, 0.17, 2.0, 4.5, 3.0, 1.0, 0.34, 1.0, 2.0, 2.0, 13.0, 2.96, 2.73, 1.96, 2.0, 3.48, 14.5, 1.0, 1.0, 1.0, 2.0, 3.69, 1.0, 16.0, 1.0, 4.0, 4.25, 1.0, 8.5, 2.46, 2.0, 2.0, 1.0, 1.0, 2.0, 1.46, 1.0, 1.5, 2.46, 3.98, 5.0, 2.44, 7.25, 3.0, 2.0, 4.93, 3.94, 2.0, 1.0, 7.94, 3.0, 3.0, 2.0, 1.48, 0.98, 0.98, 7.96, 0.17, 2.0, 8.0, 11.5, 0.37, 3.5, 4.23, 1.0, 6.57, 2.0, 6.0]"
Telecom - EBC,"[9.0, 1.5, 2.96, 2.98, 2.48, 2.5, 2.98, 4.5, 47.91, 6.0, 10.0, 2.5, 5.0, 4.0, 9.0, 4.0]"
Telecom - CDR,"[6.94, 9.69, 2.23, 1.93, 0.9]"
Telecom - User Account activation / deactivation,"[1.48, 4.0, 1.69, 1.0, 1.0, 10.0, 0.98, 2.98, 4.0, 1.0, 2.96, 0.22, 2.0, 2.0, 2.0, 2.96, 3.46, 2.98]"
Telecom - Network Audit,"[14.0, 42.68, 0.4, 9.0, 2.0, 10.5, 33.46, 1.0, 1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 25.0, 13.0, 2.0, 1.0, 1.0, 12.0, 5.0, 1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 25.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 2.0, 3.0, 2.0, 2.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 0.17, 17.88]"
Telecom - In/out calling issues,"[3.96, 2.0, 0.98, 2.94, 4.0, 2.5, 1.5, 3.0, 1.94, 2.0, 4.5, 1.48, 0.48, 0.33, 2.69, 1.71, 1.48, 2.96, 15.91, 0.33, 1.25, 1.71, 49.0, 2.0, 2.48, 6.94, 7.75, 3.0, 3.0]"
Telecom - Port Network,"[5.5, 0.58, 14.5, 31.5, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 3.0, 1.0, 18.0, 1.0, 0.98, 1.0, 2.0, 2.0, 11.0, 0.98, 0.98, 2.0, 2.0, 3.0, 1.0, 2.0, 9.0, 2.0, 1.0, 1.0, 2.0, 4.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 5.0, 4.0, 2.0, 1.71, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 24.0, 2.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 3.0, 1.0, 15.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0, 2.0, 17.0, 2.0, 3.0, 2.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 2.0, 8.0, 2.0, 2.0]"
